repetition, trial, tTest, response, mode_mean, mode_sd
10,31,-2.030000,1,-1.990566,0.186653
10,32,-2.040000,1,-2.006313,0.155844
10,33,-2.050000,0,-1.962342,0.215695
10,34,-2.020000,1,-1.981036,0.179345
10,35,-2.030000,0,-1.930323,0.249836
10,36,-2.000000,1,-1.952886,0.207534
10,37,-2.010000,0,-1.893703,0.288913
10,38,-1.980000,0,-1.805817,0.394166
10,39,-1.950000,1,-1.848929,0.333219
10,40,-1.960000,1,-1.882249,0.279342
11,1,-1.000000,1,-1.356632,1.241629
11,2,-1.220000,1,-1.664935,1.134353
11,3,-1.420000,1,-1.915658,1.008054
11,4,-1.610000,1,-2.116555,0.884966
11,5,-1.790000,1,-2.280174,0.775375
11,6,-1.970000,0,-1.403571,0.754751
11,7,-1.780000,1,-1.538833,0.689456
11,8,-1.830000,1,-1.655753,0.623962
11,9,-1.870000,1,-1.755874,0.563714
11,10,-1.890000,0,-1.494378,0.634251
11,11,-1.810000,1,-1.588443,0.559846
11,12,-1.830000,1,-1.666227,0.485285
11,13,-1.850000,1,-1.728291,0.415594
11,14,-1.870000,1,-1.776905,0.354146
11,15,-1.880000,1,-1.815525,0.300687
11,16,-1.890000,1,-1.846212,0.256562
11,17,-1.900000,1,-1.870956,0.222265
11,18,-1.910000,1,-1.891459,0.197700
11,19,-1.920000,1,-1.909088,0.182316
11,20,-1.920000,1,-1.924665,0.174036
11,21,-1.930000,1,-1.939078,0.172829
11,22,-1.940000,1,-1.953022,0.177329
11,23,-1.940000,1,-1.966552,0.185143
11,24,-1.950000,1,-1.980501,0.196509
11,25,-1.960000,1,-1.995343,0.210842
11,26,-1.960000,1,-2.010691,0.226277
11,27,-1.970000,1,-2.027620,0.243918
11,28,-1.970000,1,-2.045448,0.261930
11,29,-1.980000,1,-2.065516,0.281680
11,30,-1.980000,1,-2.086781,0.301194
11,31,-1.990000,1,-2.110879,0.321927
11,32,-1.990000,1,-2.136306,0.341745
11,33,-2.000000,1,-2.164988,0.362056
11,34,-2.000000,1,-2.194843,0.380670
11,35,-2.010000,1,-2.228029,0.398851
11,36,-2.010000,1,-2.261834,0.414558
11,37,-2.010000,1,-2.295704,0.427666
11,38,-2.020000,0,-2.012280,0.119889
11,39,-2.000000,0,-1.980036,0.053093
11,40,-1.990000,1,-1.984238,0.053082
12,1,-1.000000,1,-1.356632,1.241629
12,2,-1.220000,1,-1.664935,1.134353
12,3,-1.420000,1,-1.915658,1.008054
12,4,-1.610000,1,-2.116555,0.884966
12,5,-1.790000,1,-2.280174,0.775375
12,6,-1.970000,0,-1.403571,0.754751
12,7,-1.780000,1,-1.538833,0.689456
12,8,-1.830000,1,-1.655753,0.623962
12,9,-1.870000,1,-1.755874,0.563714
12,10,-1.890000,1,-1.842199,0.509757
12,11,-1.920000,1,-1.916352,0.469650
12,12,-1.930000,1,-1.980952,0.440520
12,13,-1.950000,0,-1.750416,0.424981
12,14,-1.900000,1,-1.801413,0.363116
12,15,-1.910000,1,-1.842169,0.308560
12,16,-1.920000,1,-1.874592,0.262928
12,17,-1.930000,1,-1.900643,0.226918
12,18,-1.940000,1,-1.922063,0.200566
12,19,-1.950000,1,-1.940275,0.183412
12,20,-1.960000,1,-1.956400,0.174592
12,21,-1.970000,1,-1.971317,0.172952
12,22,-1.970000,1,-1.985334,0.176070
12,23,-1.980000,1,-1.999259,0.183898
