repetition, trial, tTest, response, quantile_mean, quantile_sd
8,30,-1.895000,1,-1.901948,0.122732
8,31,-1.903593,1,-1.912095,0.104023
8,32,-1.911427,1,-1.920795,0.090201
8,33,-1.918628,1,-1.928498,0.080126
8,34,-1.925332,1,-1.935501,0.072849
8,35,-1.931742,1,-1.941882,0.067430
8,36,-1.937673,1,-1.947882,0.063542
8,37,-1.943369,1,-1.953476,0.060607
8,38,-1.948776,1,-1.958853,0.058456
8,39,-1.953950,1,-1.963942,0.056763
8,40,-1.958940,1,-1.968903,0.055480
9,1,-0.647661,1,-1.323926,1.216125
9,2,-1.106588,1,-1.620842,1.117931
9,3,-1.474511,1,-1.884288,1.012953
9,4,-1.776842,1,-2.115703,0.908826
9,5,-2.034154,0,-1.260726,0.814228
9,6,-1.397610,1,-1.443095,0.702796
9,7,-1.562178,1,-1.582147,0.598809
9,8,-1.661545,1,-1.687207,0.508732
9,9,-1.731399,1,-1.767418,0.435381
9,10,-1.783654,1,-1.829960,0.378778
9,11,-1.824495,1,-1.880218,0.338221
9,12,-1.857870,1,-1.922666,0.312936
9,13,-1.886651,1,-1.959975,0.299708
9,14,-1.912027,1,-1.993543,0.295170
9,15,-1.934513,1,-2.024909,0.297436
9,16,-1.954907,1,-2.055346,0.304841
9,17,-1.973789,1,-2.085933,0.316093
9,18,-1.991625,1,-2.117625,0.330240
9,19,-2.008782,1,-2.151300,0.346546
9,20,-2.025620,1,-2.187782,0.364340
9,21,-2.042530,1,-2.225574,0.381368
9,22,-2.059260,0,-2.002143,0.119554
9,23,-1.991262,1,-2.013749,0.119358
9,24,-2.001649,1,-2.024705,0.121083
9,25,-2.011279,1,-2.035217,0.124479
9,26,-2.020283,1,-2.045472,0.129399
9,27,-2.028708,1,-2.055648,0.135779
9,28,-2.036688,1,-2.065925,0.143615
9,29,-2.044328,1,-2.076030,0.152009
9,30,-2.051524,1,-2.086524,0.161821
9,31,-2.058434,1,-2.097625,0.173134
9,32,-2.065137,0,-2.041780,0.067261
9,33,-2.037033,0,-2.014202,0.062262
9,34,-2.011203,1,-2.020114,0.059912
9,35,-2.017055,1,-2.025712,0.057924
9,36,-2.022664,1,-2.030941,0.056158
9,37,-2.027900,1,-2.035941,0.054641
9,38,-2.032907,1,-2.040649,0.053276
9,39,-2.037629,1,-2.045186,0.052103
9,40,-2.042196,1,-2.049487,0.051046
10,1,-0.647661,1,-1.323926,1.216125
10,2,-1.106588,1,-1.620842,1.117931
10,3,-1.474511,1,-1.884288,1.012953
10,4,-1.776842,1,-2.115703,0.908826
10,5,-2.034154,1,-2.316118,0.807871
10,6,-2.251309,0,-1.570543,0.764691
10,7,-1.701399,1,-1.732123,0.653104
10,8,-1.839889,1,-1.854700,0.552699
10,9,-1.925211,0,-1.449867,0.695055
10,10,-1.632095,1,-1.588863,0.582649
10,11,-1.726598,1,-1.688584,0.482746
10,12,-1.780845,1,-1.760389,0.396302
10,13,-1.817204,1,-1.812497,0.325379
10,14,-1.844639,1,-1.851293,0.267373
10,15,-1.866416,1,-1.881061,0.223227
10,16,-1.885032,1,-1.904928,0.189992
10,17,-1.901394,1,-1.924654,0.165281
10,18,-1.915813,1,-1.941836,0.148626
10,19,-1.929190,1,-1.957135,0.137762
10,20,-1.941472,1,-1.971150,0.131479
10,21,-1.952919,1,-1.984319,0.128679
10,22,-1.963730,1,-1.996967,0.128469
10,23,-1.974049,1,-2.009344,0.130180
10,24,-1.983998,1,-2.021649,0.133340
10,25,-1.993691,1,-2.034048,0.137628
10,26,-2.003230,0,-1.967720,0.077792
10,27,-1.961589,0,-1.931093,0.082440
10,28,-1.928561,1,-1.938757,0.075073
10,29,-1.935695,1,-1.945793,0.069610
10,30,-1.942449,1,-1.952227,0.065380
10,31,-1.948701,0,-1.924158,0.072199
10,32,-1.922166,1,-1.930533,0.066442
10,33,-1.928199,0,-1.903442,0.077809
10,34,-1.902646,1,-1.909991,0.069996
10,35,-1.908638,1,-1.915952,0.064246
10,36,-1.914197,1,-1.921377,0.059844
10,37,-1.919454,1,-1.926449,0.056535
10,38,-1.924315,1,-1.931153,0.053909
10,39,-1.928985,1,-1.935628,0.051842
10,40,-1.933371,1,-1.939832,0.050113
11,1,-0.647661,1,-1.323926,1.216125
11,2,-1.106588,1,-1.620842,1.117931
11,3,-1.474511,1,-1.884288,1.012953
11,4,-1.776842,1,-2.115703,0.908826
11,5,-2.034154,1,-2.316118,0.807871
11,6,-2.251309,0,-1.570543,0.764691
11,7,-1.701399,1,-1.732123,0.653104
11,8,-1.839889,1,-1.854700,0.552699
11,9,-1.925211,1,-1.947363,0.467674
11,10,-1.985961,1,-2.018421,0.398676
11,11,-2.032269,1,-2.073986,0.344767
11,12,-2.068844,0,-1.862598,0.426574
11,13,-1.935756,1,-1.921905,0.350047
11,14,-1.968451,0,-1.727857,0.505137
11,15,-1.845645,1,-1.804124,0.414562
11,16,-1.883079,1,-1.858583,0.336822
11,17,-1.908812,1,-1.897497,0.273695
11,18,-1.928323,0,-1.769874,0.409160
11,19,-1.852181,1,-1.821693,0.331865
11,20,-1.874531,1,-1.858473,0.267960
11,21,-1.891279,1,-1.884962,0.217022
11,22,-1.904624,1,-1.904693,0.176337
11,23,-1.915765,1,-1.919851,0.145443
11,24,-1.925540,1,-1.932025,0.121611
11,25,-1.934237,1,-1.942070,0.103022
11,26,-1.942006,1,-1.950655,0.089254
11,27,-1.949143,0,-1.915488,0.119758
11,28,-1.919106,1,-1.924904,0.101059
11,29,-1.926148,1,-1.932900,0.087094
11,30,-1.932687,1,-1.939828,0.076477
11,31,-1.938661,1,-1.946034,0.068754
11,32,-1.944207,1,-1.951628,0.062972
11,33,-1.949459,1,-1.956827,0.058771
11,34,-1.954333,1,-1.961637,0.055574
11,35,-1.959024,1,-1.966210,0.053178
11,36,-1.963447,1,-1.970510,0.051268
11,37,-1.967685,1,-1.974658,0.049761
11,38,-1.971811,1,-1.978600,0.048491
11,39,-1.975680,1,-1.982436,0.047440
11,40,-1.979574,1,-1.986110,0.046512
12,1,-0.647661,1,-1.323926,1.216125
12,2,-1.106588,1,-1.620842,1.117931
12,3,-1.474511,1,-1.884288,1.012953
12,4,-1.776842,1,-2.115703,0.908826
12,5,-2.034154,1,-2.316118,0.807871
12,6,-2.251309,1,-2.489290,0.713671
12,7,-2.437984,0,-1.842333,0.703598
12,8,-1.958917,1,-1.983644,0.597128
12,9,-2.075849,1,-2.090881,0.503524
12,10,-2.150627,1,-2.172133,0.423798
12,11,-2.203661,0,-1.881578,0.560196
12,12,-2.011475,0,-1.480650,0.734376
12,13,-1.650356,1,-1.634847,0.619178
12,14,-1.779914,1,-1.747844,0.514271
12,15,-1.852636,1,-1.829515,0.422463
12,16,-1.899214,1,-1.888580,0.345807
12,17,-1.932522,1,-1.932081,0.282520
12,18,-1.957943,1,-1.964804,0.232390
12,19,-1.978626,1,-1.990239,0.192835
12,20,-1.995945,1,-2.010706,0.162467
12,21,-2.011065,1,-2.027634,0.139038
12,22,-2.024244,0,-1.956657,0.189344
