repetition, trial, tTest, response, mean_mean, mean_sd
7,6,-2.397219,0,-1.694514,0.824371
7,7,-1.694514,1,-1.861512,0.682553
7,8,-1.861512,1,-1.982835,0.559974
7,9,-1.982835,1,-2.072013,0.461301
7,10,-2.072013,0,-1.709744,0.632352
7,11,-1.709744,1,-1.815762,0.501710
7,12,-1.815762,1,-1.887578,0.398597
7,13,-1.887578,1,-1.937986,0.320099
7,14,-1.937986,1,-1.975273,0.261284
7,15,-1.975273,0,-1.832525,0.381436
7,16,-1.832525,1,-1.877148,0.300047
7,17,-1.877148,1,-1.908386,0.239826
7,18,-1.908386,1,-1.931562,0.194543
7,19,-1.931562,0,-1.840206,0.298778
7,20,-1.840206,1,-1.869740,0.236299
